Project Name,URL,Language,Forks,Open issues,Size Byte,Stars,Topics,Contributors,Type
vinta/awesome-python,https://github.com/vinta/awesome-python,Python,20814,240,6616,118853,"awesome, collections, python, python-framework, python-library, python-resources",416,"Web Application, Framework"
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,Java,40226,69,146562,118206,"algorithms, interview, java, jvm, mysql, redis, spring, system, system-design, zookeeper",346,Other
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python,44761,626,308945,115531,,14,Other
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,7281,4907,64016,107177,,969,Other
facebook/react-native,https://github.com/facebook/react-native,JavaScript,21840,2166,846519,101513,,3113,Other
electron/electron,https://github.com/electron/electron,C++,13261,1614,112688,100639,"c-plus-plus, chrome, css, electron, html, javascript, nodejs, v8, works-with-codespaces",1279,Web Application
d3/d3,https://github.com/d3/d3,JavaScript,22989,3,42260,100545,"chart, charts, data-visualization, svg, visualization",136,Other
golang/go,https://github.com/golang/go,Go,14380,7647,291445,96192,"go, golang, language, programming-language",2149,Other
facebook/create-react-app,https://github.com/facebook/create-react-app,JavaScript,24055,1512,22234,93802,"build-tools, react, zero-configuration",918,Web Application
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code,JavaScript,9866,6,28721,92818,"awesome-list, education, es6-javascript, javascript, learn-to-code, learning-resources, nodejs, programming, snippets, snippets-collection",288,Other
axios/axios,https://github.com/axios/axios,JavaScript,9266,311,5303,91526,"hacktoberfest, http-client, javascript, nodejs, promise",329,Web Application
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,31615,2210,1059800,86151,"cncf, containers, go, kubernetes",4266,Other
nodejs/node,https://github.com/nodejs/node,JavaScript,22950,1639,794956,86037,"javascript, js, linux, macos, mit, node, nodejs, runtime, windows",3437,Other
vercel/next.js,https://github.com/vercel/next.js,JavaScript,17174,1108,1743193,82801,"blog, browser, compiler, components, hybrid, nextjs, node, react, server-rendering, ssg, static, static-site-generator, universal, vercel",2135,Web Application
microsoft/terminal,https://github.com/microsoft/terminal,C++,7234,1456,106176,81549,"cmd, command-line, console, terminal, windows-console, windows-terminal, wsl",324,Other
denoland/deno,https://github.com/denoland/deno,Rust,4311,799,54365,80698,"deno, javascript, rust, typescript",685,Other
angular/angular,https://github.com/angular/angular,TypeScript,21039,1608,374502,80026,"angular, javascript, pwa, typescript, web, web-framework, web-performance",1735,"Web Application, Framework"
mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript,30887,478,1143612,79751,"3d, augmented-reality, canvas, html5, javascript, svg, virtual-reality, webaudio, webgl, webgl2, webgpu, webxr",1952,Web Application
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,JavaScript,5470,160,14367,79266,"awesome, awesome-list, cloud, hosting, privacy, self-hosted, selfhosted",1081,Other
microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript,10295,5460,1689558,78595,"javascript, language, typechecker, typescript",702,Other
ant-design/ant-design,https://github.com/ant-design/ant-design,TypeScript,32841,802,806599,78551,"ant-design, antd, design-systems, react, typescript, ui-kit, ui-library",1789,Web Application
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,TypeScript,8168,1811,32512,76620,"automation, developer-tools, headless-chrome, node-module, testing, web",412,Web Application
avelino/awesome-go,https://github.com/avelino/awesome-go,Go,9574,22,10247,76537,"awesome, awesome-list, go, golang, golang-library, hacktoberfest",1784,Other
mui/material-ui,https://github.com/mui/material-ui,JavaScript,26329,999,279112,76167,"design-systems, hacktoberfest, javascript, material-design, react, react-components, typescript",2701,Web Application
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,JavaScript,7760,36,61837,75603,"best-practices, es6, eslint, express, expressjs, javascript, jest, microservices, mocha, node-js, nodejs, nodejs-development, npm, rest, style-guide, styleguide, testing, types",230,Other
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,Vue,27076,1142,15437,74507,"admin, admin-dashboard, admin-template, axios, dashboard, desktop, element, element-ui, i18n, management-system, mock, tinymce, vue, vue-admin, vue-cli, vuex, webpack, webpack4, xlsx",124,"Web Application, Mobile App"
animate-css/animate.css,https://github.com/animate-css/animate.css,CSS,16073,29,1651,73853,"animation, css, css-animations, stylesheets",129,Web Application
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,Java,22891,267,28238,73578,"awesome-list, design-patterns, hacktoberfest, java, principles, snippets, snippets-collection, snippets-library",310,Other
tensorflow/models,https://github.com/tensorflow/models,Python,45564,1306,591364,72963,,851,Other
microsoft/PowerToys,https://github.com/microsoft/PowerToys,C#,3966,2332,286682,70072,"color-picker, desktop, fancyzones, keyboard-manager, microsoft-powertoys, powerrename, powertoys, windows",295,Other
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,Java,13342,12,509807,69213,"animation, leetcode, leetcode-c, leetcode-java, leetcode-solutions",20,Other
storybookjs/storybook,https://github.com/storybookjs/storybook,TypeScript,7166,1715,475757,69200,"angular, components, design-systems, documentation, ember, html, javascript, polymer, react, react-native, storybook, styleguide, svelte, testing, typescript, ui, ui-components, vue, web-components, webpack",1694,Web Application
laravel/laravel,https://github.com/laravel/laravel,PHP,22302,30,10383,68971,"framework, laravel, php",735,"Web Application, Framework"
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,JavaScript,11970,5696,86963,68882,"css, font, fontawesome, icons, svg-icons, svg-sprites, webfont",2,Web Application
nvbn/thefuck,https://github.com/nvbn/thefuck,Python,3087,249,4087,67110,"python, shell",185,Other
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,JavaScript,9284,8,6833,66986,"algorithm, algorithm-interview, algorithm-interview-questions, algorithms, behavioral-interviews, coding-interviews, interview-practice, interview-preparation, interview-questions, system-design",109,Other
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,JavaScript,8606,54,574,64898,"best-practices, clean-architecture, clean-code, composition, inheritance, javascript, principles",117,Other
gothinkster/realworld,https://github.com/gothinkster/realworld,Shell,5928,64,4231,64327,,78,Other
django/django,https://github.com/django/django,Python,26698,161,221451,62781,"apps, django, framework, models, orm, python, templates, views, web",2677,"Web Application, Framework"
rust-lang/rust,https://github.com/rust-lang/rust,Rust,8924,8347,786007,64146,"compiler, language, rust",4833,Other
django/django,https://github.com/django/django,Python,26698,161,221451,62781,"apps, django, framework, models, orm, python, templates, views, web",2677,"Web Application, Framework"
tonsky/FiraCode,https://github.com/tonsky/FiraCode,Clojure,2773,305,91181,62365,"font, ligatures, programming-ligatures",107,Other
moby/moby,https://github.com/moby/moby,Go,17989,4240,178744,62348,"containers, docker, go",2351,Other
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,C++,31745,1030,198392,62329,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",1048,Other
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,C,6633,946,3598,62204,"android, c, ffmpeg, libav, mirroring, recording, screen, sdl2",103,Mobile App
doocs/advanced-java,https://github.com/doocs/advanced-java,Java,16733,3,28740,61435,"advanced-java, distributed-search-engine, distributed-systems, doocs, dubbo, elasticsearch, eureka, feign, high-availability, high-concurrency, hystrix, java, message-queue, microservices-architecture, redis, ribbon, rpc, spring-cloud, springcloud-config, zookeeper",35,Other
webpack/webpack,https://github.com/webpack/webpack,JavaScript,8254,288,57347,60609,"amd, build-tool, commonjs, compiler, es2015, es6, esm, javascript, javascript-compiler, javascript-modules, loaders, module-bundler, plugins, web, web-performance, webpack",805,Web Application
opencv/opencv,https://github.com/opencv/opencv,C++,50446,2078,504741,60093,"c-plus-plus, computer-vision, deep-learning, image-processing, opencv",1873,AI
hakimel/reveal.js,https://github.com/hakimel/reveal.js,JavaScript,16046,691,18450,58675,"presentations, slides, slideshow",324,Other
typicode/json-server,https://github.com/typicode/json-server,JavaScript,5837,609,2721,59932,,76,Other
angular/angular.js,https://github.com/angular/angular.js,JavaScript,28378,469,101603,59527,,1849,Other
huggingface/transformers,https://github.com/huggingface/transformers,Python,13948,448,90510,59014,"bert, deep-learning, flax, hacktoberfest, jax, language-model, language-models, machine-learning, model-hub, natural-language-processing, nlp, nlp-library, pretrained-models, python, pytorch, pytorch-transformers, seq2seq, speech-recognition, tensorflow, transformer",1167,AI
apple/swift,https://github.com/apple/swift,C++,9449,511,781288,58882,,1134,Other
elastic/elasticsearch,https://github.com/elastic/elasticsearch,Java,21369,3800,965496,58776,"elasticsearch, java, search-engine",1858,Other
hakimel/reveal.js,https://github.com/hakimel/reveal.js,JavaScript,16046,691,18450,58675,"presentations, slides, slideshow",324,Other
netdata/netdata,https://github.com/netdata/netdata,C,5215,284,85140,58364,"alerting, analytics, cncf, containers, dashboard, devops, docker, grafana, graphing, graphite, influxdb, iot, kubernetes, monitoring, netdata, notifications, observability, prometheus, statsd, time-series",538,Other
pallets/flask,https://github.com/pallets/flask,Python,14912,14,8994,58221,"flask, jinja, pallets, python, web-framework, werkzeug, wsgi",757,"Web Application, Framework"
reduxjs/redux,https://github.com/reduxjs/redux,TypeScript,15133,54,25419,57609,redux,923,Other
gohugoio/hugo,https://github.com/gohugoio/hugo,Go,6506,705,108162,57501,"blog-engine, cms, content-management-system, documentation-tool, go, hacktoberfest, hugo, static-site-generator",778,Other
atom/atom,https://github.com/atom/atom,JavaScript,16923,811,329027,56940,"atom, editor, electron, javascript, linux, macos, windows",626,Other
sveltejs/svelte,https://github.com/sveltejs/svelte,TypeScript,2774,694,68341,56487,"compiler, template, ui",516,Other
kdn251/interviews,https://github.com/kdn251/interviews,Java,11946,104,24091,56438,"algorithm, algorithm-challenges, algorithm-competitions, algorithms, coding-challenge, coding-challenges, coding-interview, coding-interviews, interview, interview-practice, interview-prep, interview-preparation, interview-questions, interviews, java, leetcode, leetcode-java, leetcode-questions, leetcode-solutions, technical-coding-interview",42,Other
macrozheng/mall,https://github.com/macrozheng/mall,Java,24044,25,57613,56433,"docker, elasticsearch, elk, java, mongodb, mybatis, mysql, rabbitmq, redis, spring, spring-boot, spring-cloud, spring-security, springboot, springcloud, swagger-ui",2,Other
chartjs/Chart.js,https://github.com/chartjs/Chart.js,JavaScript,11384,138,36300,56350,"canvas, chart, graph, hacktoberfest, html5, html5-charts, javascript",427,Web Application
expressjs/express,https://github.com/expressjs/express,JavaScript,9522,154,9388,56195,"express, javascript, nodejs, server",303,Other
gin-gonic/gin,https://github.com/gin-gonic/gin,Go,6360,493,2748,56167,"framework, gin, go, middleware, performance, router, server",361,"Web Application, Framework"
jquery/jquery,https://github.com/jquery/jquery,JavaScript,20291,81,31130,55919,jquery,331,Other
nvm-sh/nvm,https://github.com/nvm-sh/nvm,Shell,5866,343,3355,55895,"bash, install, lts, node, node-js, nodejs, nvm, nvmrc, posix, posix-compliant, shell, version-manager, zsh",346,Other
socketio/socket.io,https://github.com/socketio/socket.io,TypeScript,9986,113,15186,55360,,203,Other
adam-p/markdown-here,https://github.com/adam-p/markdown-here,JavaScript,10574,309,16032,54568,,12,Other
keras-team/keras,https://github.com/keras-team/keras,Python,19013,295,22608,54520,"data-science, deep-learning, machine-learning, neural-networks, python, tensorflow",1035,AI
pytorch/pytorch,https://github.com/pytorch/pytorch,C++,15056,11345,761487,54416,"autograd, deep-learning, gpu, machine-learning, neural-network, numpy, python, tensor",3132,AI
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,JavaScript,2660,24,62242,54272,"css, css-framework, functional-css, postcss, responsive, tailwindcss, utility-classes",219,"Web Application, Framework"
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,C#,16294,75,13485,53974,"c-sharp, proxy, shadowsocks",87,Other
fatedier/frp,https://github.com/fatedier/frp,Go,9814,94,25046,53917,"expose, firewall, frp, go, http-proxy, nat, proxy, reverse-proxy, tunnel",82,Other
redis/redis,https://github.com/redis/redis,C,20844,2059,112508,53804,,654,Other
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,HTML,5872,21,4611,53668,,1255,Other
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,Python,13142,4,5019,53428,,554,Other
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Shell,4444,27,229161,53352,"awesome, computer-science, meetup, papers, programming, read-papers, theory",270,Other
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,C++,13794,972,91430,53316,"marshalling, protobuf, protobuf-runtime, protoc, protocol-buffers, protocol-compiler, rpc, serialization",930,Other
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,7595,8,3854,52935,"awesome, github, hellogithub, python",8,Other
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11,Assembly,6770,134,2942,52581,"agc, apollo, hacktoberfest, nasa",169,Other
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,10167,336,967787,52505,"blog, compiler, documentation-tool, gatsby, graphql, react, static-site-generator, web-app",4180,Web Application
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,JavaScript,11967,12,20071,52442,"best-practices, css, html, html5, html5-boilerplate, javascript, robust",296,Web Application
lodash/lodash,https://github.com/lodash/lodash,JavaScript,6331,362,47581,52438,"javascript, lodash, modules, utilities",327,Other
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,Nunjucks,10257,3,3462,52431,"css-questions, front-end, html-questions, interview-questions, interview-test, js-questions",258,Web Application
ansible/ansible,https://github.com/ansible/ansible,Python,21643,1455,212915,52355,"ansible, hacktoberfest, python",6529,Other
coder/code-server,https://github.com/coder/code-server,TypeScript,4322,246,50311,52028,"browser-ide, dev-tools, development-environment, ide, remote-work, vscode, vscode-remote",169,Web Application
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,Dockerfile,4511,4148,5,51824,,,Other
ElemeFE/element,https://github.com/ElemeFE/element,Vue,13714,2238,82513,51747,"components, element-ui, javascript, ui-kit, vue, vue-components, vuejs",605,Web Application
neovim/neovim,https://github.com/neovim/neovim,Vim script,3697,1521,149523,51371,"api, c, lua, neovim, nvim, text-editor, vim",845,Web Application
resume/resume.github.com,https://github.com/resume/resume.github.com,JavaScript,1293,49,411,50882,,55,Other
rails/rails,https://github.com/rails/rails,Ruby,20186,608,242711,50287,"activejob, activerecord, framework, html, mvc, rails, ruby",5845,"Web Application, Framework"
home-assistant/core,https://github.com/home-assistant/core,Python,17396,1701,325668,50284,"asyncio, home-automation, internet-of-things, iot, mqtt, python, raspberry-pi",3145,Other
apache/echarts,https://github.com/apache/echarts,TypeScript,18691,2054,215500,50142,"apache, canvas, charting-library, charts, data-visualization, data-viz, echarts, svg, visualization",193,Other
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,JavaScript,5141,1057,112276,49893,"button, css-framework, dropdown, flexbox, popup, semantic, sidebar, tooltip, ui, ui-components",225,"Web Application, Framework"
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,22724,2443,137333,49243,"data-analysis, data-science, machine-learning, python, statistics",2510,AI
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,JavaScript,5237,125,7289,48033,"apple, awesome, awesome-list, awesome-lists, list, mac, mac-osx, macos, macosx, software",410,Other
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,JavaScript,6398,12,1711,47548,"angular, concepts, es6, es6-javascript, hacktoberfest, javascript, javascript-closures, javascript-engines, javascript-programming, nodejs, primitive-types, programming, react",103,Web Application
grafana/grafana,https://github.com/grafana/grafana,TypeScript,9367,2303,534956,47314,"alerting, analytics, business-intelligence, dashboard, data-visualization, elasticsearch, go, grafana, hacktoberfest, influxdb, metrics, monitoring, mysql, postgres, prometheus",1875,Other
iptv-org/iptv,https://github.com/iptv-org/iptv,JavaScript,8368,331,399988,47264,"iptv, m3u, playlist, streams, tv",163,Other
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,14795,99,207074,47237,,117,Other
psf/requests,https://github.com/psf/requests,Python,8657,216,12819,47018,"client, cookies, forhumans, http, humans, python, python-requests, requests",710,Other
godotengine/godot,https://github.com/godotengine/godot,C++,8454,7270,855106,46863,"game-development, game-engine, gamedev, godot, godotengine, multi-platform, open-source",1843,Other
necolas/normalize.css,https://github.com/necolas/normalize.css,CSS,10571,72,379,46855,"css, css-reset, normalize-css",42,Web Application
azl397985856/leetcode,https://github.com/azl397985856/leetcode,JavaScript,8810,12,133409,46853,"algo, algorithm, algorithms, algorithms-datastructures, computer-science, cpp, data-structures, interview, java, javascript, leetcode, leetcode-solutions, python, tree",75,Other
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,13599,651,133109,46496,"angular, capacitor, framework, frontend, ionic, ios, javascript, material-design, mobile, pwa, react, stencil, stenciljs, typescript, vue, web, webcomponents",464,"Web Application, Framework, Mobile App"
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,Java,32853,1274,172739,46421,"framework, spring, spring-framework",734,"Web Application, Framework"
moment/moment,https://github.com/moment/moment,JavaScript,7034,193,19995,46306,,670,Other
remix-run/react-router,https://github.com/remix-run/react-router,TypeScript,9023,64,15683,46250,,749,Other
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,Java,7568,10,132782,45814,"flow, java, reactive-streams, rxjava",318,Web Application
jgthms/bulma,https://github.com/jgthms/bulma,CSS,3862,370,98455,45193,"css, css-framework, design, flexbox, html",383,"Web Application, Framework"
nestjs/nest,https://github.com/nestjs/nest,TypeScript,4966,94,245217,45125,"framework, javascript, javascript-framework, microservices, nest, nestjs, node, nodejs, nodejs-framework, typescript, typescript-framework, websockets",338,"Web Application, Framework"
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,Java,6470,82,32989,44919,,4,Other
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,JavaScript,3249,605,155140,44877,,326,Other
apache/superset,https://github.com/apache/superset,TypeScript,8697,1087,359039,44831,"analytics, apache, apache-superset, asf, bi, business-analytics, business-intelligence, data-analysis, data-analytics, data-engineering, data-science, data-visualization, data-viz, flask, python, react, sql-editor, superset",771,Web Application
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,Java,14686,24,2484,44796,"algorithm, algorithm-challenges, algorithms, algorithms-datastructures, data-structures, hacktoberfest, java, search, sort, sorting-algorithms",374,Other
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,C++,7852,357,52089,44242,"hacktoberfest, lstm, machine-learning, ocr, ocr-engine, tesseract, tesseract-ocr",190,AI
jekyll/jekyll,https://github.com/jekyll/jekyll,Ruby,9724,179,40887,44224,"blog-engine, jekyll, liquid, markdown, ruby, static-site-generator",1166,Other
google/guava,https://github.com/google/guava,Java,9771,737,369405,43813,"guava, java",421,Other
strapi/strapi,https://github.com/strapi/strapi,JavaScript,5306,631,340099,43557,"api, cms, cms-framework, content-management, content-management-system, customizable, dashboard, graphql, hacktoberfest, headless-cms, jamstack, javascript, koa, koa2, mysql, nodejs, rest, strapi",832,"Web Application, Framework"
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,JavaScript,6600,66,102,43527,,56,Other
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,Python,12048,679,103937,43365,"face-detection, face-recognition, machine-learning, python",47,AI
syncthing/syncthing,https://github.com/syncthing/syncthing,Go,3350,306,118831,43357,"go, p2p, peer-to-peer, synchronization",283,Other
soimort/you-get,https://github.com/soimort/you-get,Python,8795,386,3599,43304,,238,Other
python/cpython,https://github.com/python/cpython,Python,22226,1585,454060,43198,,1940,Other
scrapy/scrapy,https://github.com/scrapy/scrapy,Python,9538,777,22521,42973,"crawler, crawling, framework, hacktoberfest, python, scraping",518,"Web Application, Framework"
meteor/meteor,https://github.com/meteor/meteor,JavaScript,5195,115,113256,42834,"build-system, framework, hacktoberfest, javascript, meteor, mongodb, nodejs, npm, reactive-programming, zero-configuration",783,"Web Application, Framework"
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,JavaScript,6190,11,65121,42690,"css, curriculum, education, hacktoberfest, html, javascript, learning",135,Web Application
3b1b/manim,https://github.com/3b1b/manim,Python,4720,324,73793,42678,"3b1b-videos, animation, explanatory-math-videos, python",151,Other
junegunn/fzf,https://github.com/junegunn/fzf,Go,1856,280,4344,42468,"bash, cli, fish, fzf, go, neovim, tmux, unix, vim, zsh",203,Other
serverless/serverless,https://github.com/serverless/serverless,JavaScript,5159,880,95137,42278,"aws, aws-dynamodb, aws-lambda, azure-functions, google-cloud-functions, microservice, serverless, serverless-architectures, serverless-framework",1101,"Web Application, Framework"
prettier/prettier,https://github.com/prettier/prettier,JavaScript,3201,1024,82017,42076,"angular, ast, css, flow, formatter, graphql, html, javascript, json, jsx, less, markdown, prettier, printer, scss, typescript, vue, yaml",595,Web Application
minimaxir/big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,Python,2000,86,330,42027,,83,Other
juliangarnier/anime,https://github.com/juliangarnier/anime,JavaScript,3442,183,47925,41723,"animation, anime, canvas, css, javascript, javascript-library, svg",55,Web Application
square/okhttp,https://github.com/square/okhttp,Kotlin,8792,126,46063,41712,"android, graalvm, java, kotlin",291,Mobile App
aymericdamien/TensorFlow-Examples,https://github.com/aymericdamien/TensorFlow-Examples,Jupyter Notebook,15196,213,10242,41708,"deep-learning, examples, machine-learning, python, tensorflow, tutorial",72,AI
prometheus/prometheus,https://github.com/prometheus/prometheus,Go,6882,621,143995,41361,"alerting, graphing, hacktoberfest, metrics, monitoring, prometheus, time-series",774,Other
git/git,https://github.com/git/git,C,23063,93,188813,41278,"c, hacktoberfest, shell",2021,Other
ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,JavaScript,17540,56,137299,40570,"admin, admin-dashboard, admin-panel, admin-template, bootstrap",123,Other
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,Go,10466,111,38326,39742,,417,Other
babel/babel,https://github.com/babel/babel,TypeScript,5242,788,84173,40518,"ast, babel, compiler, es2015, es6, flavortown, javascript",1082,Other
yarnpkg/yarn,https://github.com/yarnpkg/yarn,JavaScript,2810,1964,119346,40511,"javascript, npm, package-manager, yarn",535,Other
deepfakes/faceswap,https://github.com/deepfakes/faceswap,Python,11551,24,200176,40463,"deep-face-swap, deep-learning, deep-neural-networks, deepface, deepfakes, deeplearning, face-swap, faceswap, fakeapp, machine-learning, myfakeapp, neural-nets, neural-networks, openfaceswap",88,AI
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,JavaScript,2101,761,28702,40335,"assets, build-tool, commonjs, compiler, css, es6, html, javascript, module-bundler, modules, web",343,Web Application
android/architecture-samples,https://github.com/android/architecture-samples,Kotlin,11045,195,12364,40276,"android, android-architecture, samples",59,Mobile App
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,Go,10466,111,38326,39742,,417,Other
TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,8598,52,68769,39703,"blogging, cms, ember, ghost, hacktoberfest, headless-cms, jamstack, javascript, journalism, nodejs, publishing, web-application",448,Web Application
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,Dart,5808,33,2480,39658,"android, awesome, awesome-list, collections, cross-platform, dartlang, flutter, flutter-apps, flutter-examples, flutter-plugin, flutter-plugins, ios, material-design, mobile, mobile-app, mobile-development, reactive-programming, resources",317,"Web Application, Mobile App"
square/retrofit,https://github.com/square/retrofit,Java,7075,162,5695,39650,"android, java",189,Mobile App
nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,JavaScript,3211,510,43865,39554,"framework, isomorphic, nuxt, server-rendering, ssr, universal, vue, vue-router, vuex, web-app",326,"Web Application, Framework"
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,Go,8403,26,55084,39195,"golang, http-proxy, proxy, shadowsocks, socks, socks5, v2ray, vmess",98,Other
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,Swift,6484,20,13180,39091,"apple-swift, arkit, awesome, ios, ios-animation, ios-libraries, objective-c, objective-c-library, swift-extensions, swift-framework, swift-language, swift-library, swift-programming",986,"Web Application, Framework, Mobile App"
etcd-io/etcd,https://github.com/etcd-io/etcd,Go,8367,179,66967,39026,"consensus, database, distributed-database, distributed-systems, etcd, go, key-value, kubernetes, raft",820,Other
localstack/localstack,https://github.com/localstack/localstack,Python,2945,361,13838,38984,"aws, continuous-integration, developer-tools, localstack, python, testing",432,Other
